"quad","species","abundance"
1,"Achimill",1
1,"Elymrepe",4
1,"Lolipere",7
1,"Poaprat",4
1,"Poatriv",2
2,"Achimill",3
2,"Alopgeni",2
2,"Bellpere",3
2,"Bromhord",4
2,"Elymrepe",4
2,"Lolipere",5
2,"Poaprat",4
2,"Poatriv",7
2,"Scorautu",5
2,"Trifrepe",5
3,"Agrostol",4
3,"Alopgeni",7
3,"Bellpere",2
3,"Elymrepe",4
3,"Lolipere",6
3,"Poaprat",5
3,"Poatriv",6
3,"Scorautu",2
3,"Trifrepe",2
3,"Bracruta",2
4,"Agrostol",8
4,"Alopgeni",2
4,"Bellpere",2
4,"Bromhord",3
4,"Cirsarve",2
4,"Elymrepe",4
4,"Lolipere",5
4,"Poaprat",4
4,"Poatriv",5
4,"Sagiproc",5
4,"Scorautu",2
4,"Trifrepe",1
4,"Bracruta",2
5,"Achimill",2
5,"Anthodor",4
5,"Bellpere",2
5,"Bromhord",2
5,"Elymrepe",4
5,"Lolipere",2
5,"Planlanc",5
5,"Poaprat",2
5,"Poatriv",6
5,"Rumeacet",5
5,"Scorautu",3
5,"Trifprat",2
5,"Trifrepe",2
5,"Bracruta",2
6,"Achimill",2
6,"Anthodor",3
6,"Lolipere",6
6,"Planlanc",5
6,"Poaprat",3
6,"Poatriv",4
6,"Rumeacet",6
6,"Scorautu",3
6,"Trifprat",5
6,"Trifrepe",5
6,"Bracruta",6
7,"Achimill",2
7,"Anthodor",2
7,"Bromhord",2
7,"Juncbufo",2
7,"Lolipere",6
7,"Planlanc",5
7,"Poaprat",4
7,"Poatriv",5
7,"Rumeacet",3
7,"Scorautu",3
7,"Trifprat",2
7,"Trifrepe",2
7,"Bracruta",2
8,"Agrostol",4
8,"Alopgeni",5
8,"Eleopalu",4
8,"Juncarti",4
8,"Lolipere",4
8,"Poaprat",4
8,"Poatriv",4
8,"Ranuflam",2
8,"Sagiproc",2
8,"Scorautu",3
8,"Trifrepe",2
8,"Bracruta",2
9,"Agrostol",3
9,"Alopgeni",3
9,"Elymrepe",6
9,"Juncarti",4
9,"Juncbufo",4
9,"Lolipere",2
9,"Poaprat",4
9,"Poatriv",5
9,"Rumeacet",2
9,"Sagiproc",2
9,"Scorautu",2
9,"Trifrepe",3
9,"Bracruta",2
10,"Achimill",4
10,"Anthodor",4
10,"Bellpere",2
10,"Bromhord",4
10,"Lolipere",6
10,"Planlanc",3
10,"Poaprat",4
10,"Poatriv",4
10,"Scorautu",3
10,"Trifrepe",6
10,"Vicilath",1
10,"Bracruta",2
11,"Hyporadi",2
11,"Lolipere",7
11,"Planlanc",3
11,"Poaprat",4
11,"Sagiproc",2
11,"Scorautu",5
11,"Trifrepe",3
11,"Vicilath",2
11,"Bracruta",4
12,"Agrostol",4
12,"Alopgeni",8
12,"Juncbufo",4
12,"Poatriv",4
12,"Rumeacet",2
12,"Sagiproc",4
12,"Scorautu",2
12,"Trifrepe",3
12,"Bracruta",4
13,"Agrostol",5
13,"Alopgeni",5
13,"Chenalbu",1
13,"Juncbufo",3
13,"Poaprat",2
13,"Poatriv",9
13,"Ranuflam",2
13,"Sagiproc",2
13,"Scorautu",2
13,"Trifrepe",2
14,"Agrostol",4
14,"Comapalu",2
14,"Eleopalu",4
14,"Ranuflam",2
14,"Scorautu",2
14,"Trifrepe",6
14,"Callcusp",4
15,"Agrostol",4
15,"Comapalu",2
15,"Eleopalu",5
15,"Juncarti",3
15,"Ranuflam",2
15,"Scorautu",2
15,"Trifrepe",1
15,"Bracruta",4
16,"Agrostol",7
16,"Alopgeni",4
16,"Eleopalu",8
16,"Juncarti",3
16,"Poatriv",2
16,"Ranuflam",2
16,"Bracruta",4
16,"Callcusp",3
17,"Achimill",2
17,"Airaprae",2
17,"Anthodor",4
17,"Hyporadi",2
17,"Planlanc",2
17,"Poaprat",1
17,"Scorautu",2
18,"Bellpere",2
18,"Lolipere",2
18,"Planlanc",3
18,"Poaprat",3
18,"Salirepe",3
18,"Scorautu",5
18,"Trifrepe",2
18,"Vicilath",1
18,"Bracruta",6
19,"Airaprae",3
19,"Anthodor",4
19,"Empenigr",2
19,"Hyporadi",5
19,"Sagiproc",3
19,"Salirepe",3
19,"Scorautu",6
19,"Trifrepe",2
19,"Bracruta",3
20,"Agrostol",5
20,"Eleopalu",4
20,"Juncarti",4
20,"Ranuflam",4
20,"Salirepe",5
20,"Scorautu",2
20,"Bracruta",4
20,"Callcusp",3
