"variety","field","field_effect","irrigation","yield"
"v1","field_1",-2.50581524296933,"i1",6.25170359594706
"v1","field_1",-2.50581524296933,"i2",8.06478498267567
"v2","field_2",0.734573296888329,"i1",17.9844351331745
"v2","field_2",0.734573296888329,"i2",20.6447060788579
"v1","field_3",-3.34251444964019,"i1",6.62510502416192
"v1","field_3",-3.34251444964019,"i2",13.5451579717304
"v2","field_4",6.38112320855117,"i1",23.0235655987473
"v2","field_4",6.38112320855117,"i2",27.5689258509862
"v1","field_5",1.31803108726144,"i1",13.1559858304779
"v1","field_5",1.31803108726144,"i2",17.8823036887236
"v2","field_6",-3.28187353647206,"i1",11.8672564302583
"v2","field_6",-3.28187353647206,"i2",12.7394230718012
"v1","field_7",1.94971620971394,"i1",13.1893677055034
"v1","field_7",1.94971620971394,"i2",16.8374587306559
"v2","field_8",2.95329882051687,"i1",17.6417078071062
"v2","field_8",2.95329882051687,"i2",20.0117940527183
"v1","field_9",2.30312540661397,"i1",11.3468252963967
"v1","field_9",2.30312540661397,"i2",18.1390085270134
"v2","field_10",-1.22155354862542,"i1",16.4958055544327
"v2","field_10",-1.22155354862542,"i2",18.5728709966886
"v1","field_11",6.04712467380339,"i1",16.8224678969221
"v1","field_11",6.04712467380339,"i2",20.9395145926376
"v2","field_12",1.55937294564572,"i1",13.8052538319885
"v2","field_12",1.55937294564572,"i2",20.7293838190464
