"year","max temp","min temp","days of air frost","rainfall","hours.sun","Setting","Bee.diversity","Butterfly.diversity"
1961,11.725,5.625,4.5,38.325,NA,"Rural",7,8.75
1962,11.2083333333333,5.275,3.66666666666667,37.425,NA,"Rural",6.25,9.41666666666667
1963,10.7583333333333,5,4.5,43.675,NA,"Rural",5.83333333333333,8.41666666666667
1964,11.9333333333333,5.78333333333333,3.08333333333333,29.5166666666667,NA,"Rural",5.91666666666667,10.3333333333333
1965,11.225,5.375,3.33333333333333,47.825,NA,"Rural",5.41666666666667,9.41666666666667
1966,11.35,5.96666666666667,2.33333333333333,55.525,NA,"Rural",7.08333333333333,8.83333333333333
1967,11.9416666666667,5.93333333333333,2,48.0416666666667,NA,"Rural",5.91666666666667,9
1968,11.2166666666667,NA,NA,NA,NA,"Rural",3.66666666666667,10.0833333333333
1969,11.2166666666667,5.525,3.83333333333333,NA,NA,"Rural",6.08333333333333,10.9166666666667
1970,11.725,5.64166666666667,3.41666666666667,NA,NA,"Rural",5.5,10.5
1971,11.9083333333333,5.79166666666667,2.5,36.175,NA,"Rural",6.33333333333333,11.1666666666667
1972,NA,NA,NA,NA,NA,"Rural",4.16666666666667,7.5
1973,NA,NA,NA,NA,NA,"Rural",5.5,7.83333333333333
1974,11.4833333333333,5.725,1.16666666666667,NA,NA,"Rural",5.83333333333333,10
1975,12.1416666666667,5.70833333333333,1.33333333333333,39.8083333333333,NA,"Rural",5.75,9.91666666666667
1976,12.125,5.875,3,47.425,128.691666666667,"Semi-rural",4.5,6.58333333333333
1977,11.4,5.925,2,46.1333333333333,117.558333333333,"Semi-rural",4.41666666666667,7.41666666666667
1978,NA,5.59166666666667,4.08333333333333,56.0916666666667,111.358333333333,"Semi-rural",4,6.75
1979,11.1833333333333,5.16666666666667,4.5,55.0666666666667,120.783333333333,"Semi-rural",3.83333333333333,7
1980,NA,5.85833333333333,2.75,52.6833333333333,114.666666666667,"Semi-rural",4.33333333333333,4.58333333333333
1981,NA,NA,NA,NA,124.691666666667,"Semi-rural",3.58333333333333,4.58333333333333
1982,12.0083333333333,5.84166666666667,3.33333333333333,47.2,NA,"Semi-rural",4.5,5
1983,11.875,6.15,2.75,45.5083333333333,116.95,"Semi-rural",4.33333333333333,7.25
1984,11.4916666666667,6.1,2.33333333333333,NA,128.058333333333,"Semi-rural",4.83333333333333,6.58333333333333
1985,NA,NA,NA,49.5166666666667,119.5,"Semi-rural",3.58333333333333,4.58333333333333
1986,11.3833333333333,5.00833333333333,3.75,51.3083333333333,138.016666666667,"Semi-rural",3.66666666666667,5.16666666666667
1987,11.325,5.49166666666667,3.91666666666667,52.3166666666667,110.966666666667,"Semi-rural",4,6.33333333333333
1988,11.9583333333333,6.08333333333333,1.41666666666667,47.9333333333333,128.741666666667,"Urban",1.91666666666667,4.25
1989,13.0666666666667,6.025,2.08333333333333,32.4666666666667,149.05,"Urban",2.08333333333333,3.83333333333333
1990,13.15,6.96666666666667,1.25,41.8083333333333,134.208333333333,"Urban",2.5,3.91666666666667
1991,12.05,6.05,3.58333333333333,33.675,116.908333333333,"Urban",2.25,3.41666666666667
1992,12.4666666666667,6.33333333333333,2.66666666666667,48.4666666666667,128.666666666667,"Urban",2.33333333333333,3.58333333333333
1993,11.675,6.325,1.75,48.9333333333333,108.625,"Urban",2.41666666666667,2.75
1994,12.4166666666667,6.68333333333333,1.5,46.275,130.116666666667,"Urban",2.33333333333333,3.41666666666667
1995,12.5916666666667,6.78333333333333,2.75,NA,NA,"Urban",2.5,3.66666666666667
1996,11.5833333333333,5.70833333333333,4,34.1166666666667,120.75,"Urban",2.16666666666667,3.91666666666667
1997,12.9833333333333,6.88333333333333,1.91666666666667,43.6333333333333,132,"Urban",2.66666666666667,3.91666666666667
1998,NA,6.825,1.16666666666667,50.0916666666667,112.591666666667,"Urban",2.41666666666667,4
1999,NA,NA,1.83333333333333,47.3916666666667,135.125,"Urban",2.5,3.83333333333333
2000,NA,NA,NA,NA,NA,"Urban",2.33333333333333,2.5
2001,12.85,6.29166666666667,3.66666666666667,57.4916666666667,137.925,"Urban",2.25,3.25
2002,13.4583333333333,7.00833333333333,1.58333333333333,63.5083333333333,132.75,"Urban",2.41666666666667,2.58333333333333
2003,13.9,6.75833333333333,3.08333333333333,47.3666666666667,158.675,"Urban",2.66666666666667,3.41666666666667
2004,13.3583333333333,7.125,1.58333333333333,67.575,132.133333333333,"Urban",2.33333333333333,3
2005,13.5416666666667,7.05833333333333,1.5,56.575,135.816666666667,"Urban",2.58333333333333,3.08333333333333
2006,13.825,7.15,2.25,54.2083333333333,147.483333333333,"Urban",2.5,3.58333333333333
2007,13.5833333333333,7.00833333333333,1.33333333333333,54.7416666666667,134.216666666667,"Urban",2.58333333333333,3.83333333333333
2008,13.1333333333333,6.53333333333333,2.75,65.1416666666667,137.316666666667,"Urban",2.25,3.66666666666667
2009,13.375,6.675,2.83333333333333,54.6666666666667,144.333333333333,"Urban",2.16666666666667,3.83333333333333
2010,12.3333333333333,5.66666666666667,5.16666666666667,69.9,130.658333333333,"Urban",2.33333333333333,3.5
2011,14.1583333333333,6.775,2.33333333333333,46.775,143.075,"Urban",3.08333333333333,3.91666666666667
2012,14.0777777777778,6.72222222222222,2.22222222222222,63.2,153.111111111111,"Urban",2.55555555555556,3.66666666666667
